Arrival time;private;public;workplace
00:00;0.87;0.35;0.01
00:15;0.59;0.25;0.01
00:30;0.40;0.22;0.01
00:45;0.27;0.16;0.01
01:00;0.20;0.14;0.00
01:15;0.15;0.13;0.00
01:30;0.11;0.10;0.00
01:45;0.07;0.08;0.00
02:00;0.08;0.07;0.00
02:15;0.05;0.06;0.00
02:30;0.04;0.06;0.00
02:45;0.04;0.05;0.00
03:00;0.03;0.04;0.00
03:15;0.03;0.04;0.00
03:30;0.03;0.04;0.00
03:45;0.03;0.04;0.01
04:00;0.02;0.04;0.01
04:15;0.03;0.04;0.01
04:30;0.02;0.04;0.02
04:45;0.04;0.04;0.10
05:00;0.02;0.05;0.30
05:15;0.01;0.05;0.36
05:30;0.02;0.05;0.35
05:45;0.02;0.06;0.41
06:00;0.05;0.08;0.88
06:15;0.03;0.12;0.94
06:30;0.03;0.20;0.99
06:45;0.07;0.33;1.52
07:00;0.08;0.56;2.81
07:15;0.12;0.59;3.69
07:30;0.20;0.85;3.68
07:45;0.17;1.22;4.08
08:00;0.23;1.57;5.29
08:15;0.24;1.71;6.34
08:30;0.42;2.16;7.28
08:45;0.50;2.42;7.75
09:00;0.34;2.47;6.83
09:15;0.28;1.96;4.63
09:30;0.26;1.71;3.50
09:45;0.25;1.57;3.11
10:00;0.25;1.52;2.70
10:15;0.28;1.21;1.85
10:30;0.29;1.19;1.69
10:45;0.31;1.19;1.50
11:00;0.34;1.27;1.40
11:15;0.35;1.11;1.10
11:30;0.41;1.11;1.15
11:45;0.44;1.16;1.29
12:00;0.48;1.32;1.40
12:15;0.55;1.28;1.27
12:30;0.59;1.35;1.19
12:45;0.56;1.40;1.54
13:00;0.56;1.47;1.52
13:15;0.57;1.31;1.23
13:30;0.55;1.29;1.32
13:45;0.55;1.28;1.21
14:00;0.61;1.34;1.20
14:15;0.62;1.18;0.97
14:30;0.69;1.22;0.90
14:45;0.76;1.28;0.92
15:00;0.76;1.32;0.87
15:15;0.88;1.24;0.70
15:30;0.98;1.27;0.74
15:45;1.03;1.29;0.73
16:00;1.11;1.36;0.62
16:15;1.32;1.34;0.58
16:30;1.48;1.42;0.50
16:45;1.77;1.54;0.34
17:00;2.25;1.72;0.37
17:15;2.72;1.92;0.29
17:30;3.26;2.21;0.19
17:45;3.92;2.48;0.17
18:00;4.55;2.75;0.20
18:15;4.56;2.81;0.16
18:30;4.20;2.77;0.10
18:45;3.72;2.57;0.12
19:00;3.36;2.44;0.14
19:15;3.10;2.09;0.13
19:30;2.65;1.87;0.12
19:45;2.43;1.66;0.10
20:00;2.36;1.52;0.09
20:15;2.30;1.29;0.08
20:30;2.24;1.17;0.07
20:45;2.19;1.08;0.05
21:00;2.18;1.05;0.05
21:15;2.32;0.99;0.03
21:30;2.21;0.97;0.03
21:45;2.23;0.94;0.03
22:00;2.27;0.92;0.02
22:15;2.30;0.86;0.02
22:30;2.33;0.83;0.02
22:45;2.22;0.76;0.01
23:00;2.13;0.68;0.01
23:15;1.80;0.62;0.01
23:30;1.45;0.53;0.01
23:45;1.23;0.45;0.01
