CAPEX,Qbess,cost
0.01,50.000000483255675,-5.6724008372446
0.02,50.00000048205671,-5.1724008322362485
0.03,50.00000048067281,-4.672400827233144
0.04,50.00000047905759,-4.172400822240118
0.05,50.00000047714778,-3.6724008172464773
0.06,50.00000047485469,-3.1724008122391902
0.07,50.000000472050075,-2.672400807226036
0.08,50.00000046854128,-2.1724008022216017
0.09,50.00000046402504,-1.6724007972429518
0.1,50.00000045799473,-1.172400792245794
0.11,50.00000044953563,-0.6724007872354358
0.12,50.00000043681037,-0.17240078222733857
0.13,50.000000415503436,0.32759922276861975
0.14,50.00000037251754,0.8275992277694337
0.15,50.00000024050384,1.3275992326959198
0.16,48.90257548084453,1.8273797177017568
0.17,29.796599714344364,2.221998487478502
0.18,22.804483443301557,2.478645214638039
0.19,17.52029630756213,2.6837225859369394
0.2,4.998762540964191,2.791620918664364
0.21,0.12801219850153536,2.804488812109053
0.22,0.053249865793113804,2.804489614472659
0.23,0.03359396831800645,2.8044900222739617
0.24,0.02451992389385202,2.8044901603948773
0.25,0.010000054716804782,2.8037320029722714
0.26,0.01590348265731016,2.8044902343354963
0.27,0.013522719748908918,2.8044902542022654
0.28,0.011760774773040696,2.8044902743378914
0.29,0.010404909900924492,2.8044903318284025
0.3,0.01000039807356498,2.804555274002139
0.31,0.010000002276094488,2.8043320226584316
0.32,0.010000000815631079,2.804432022160854
0.33,0.010000141814055771,2.804855249463988
0.34,0.01000005330175914,2.8049552428621616
0.35,0.010000071627851695,2.805055246112894
0.36,0.010000055707667498,2.805155244370009
0.37,0.1428462882507718,2.840232380635614
0.38,37.684149380067815,54.6968345040725
0.39,0.019999990000000002,65.00779999609759
0.4,0.010000025999834017,2.8055552429510744
0.41,0.019999990000000002,65.00819999589763
0.42,0.009999994941846287,2.8054314410871477
0.43,0.010000008287588643,2.8058552434611723
0.44,0.009999994457250493,2.8056314768727804
0.45,0.010000007862975906,2.8060552520879174
0.46,0.009999994059192097,2.8058315414817327
0.47,0.010000020488054939,2.806255276189896
0.48,0.010000003034954524,2.806355269682597
0.49,0.009999993579251779,2.806131655003751
0.5,0.00999999458313388,2.806555372943407
0.51,0.00999999000002382,2.806655401727297
0.52,0.010000001062784354,2.806755237018834
0.53,0.009999990685883217,2.8068554746483443
0.54,0.00999999284549172,2.8069555121059793
0.55,0.009999995002173767,2.807055544473479
0.56,0.009999998852734298,2.8071555020286114
0.57,0.009999998832183965,2.807255545867242
0.58,0.009999992641927297,2.8070317127079587
0.59,0.009999998449765709,2.807455245140871
0.6,0.009999998174090688,2.8075552452997385
0.61,0.009999997915830986,2.8076552454452592
0.62,0.009999997673416916,2.807755245362813
0.63,0.009999997445391576,2.8078552454251886
0.64,0.009999997230507363,2.8079552457889667
0.65,0.009999997027760466,2.8080552451423277
0.66,0.009999996836084287,2.8081552443808997
0.67,0.009999996654579592,2.8082552437430524
0.68,0.00999999648246535,2.8083552431467558
0.69,0.009999996319030806,2.808455242608023
0.7,0.009999996163634468,2.8085552420908666
0.71,0.009999996015700027,2.8086552416645882
0.72,0.00999999587470013,2.808755241207349
0.73,0.009999995740158677,2.8088552408737124
0.74,0.00999999561164179,2.8089552406250187
0.75,0.009999995488753396,2.8090552404972486
0.76,0.009999990873555882,2.8091557718878537
0.77,0.009999992461984405,2.8092557528539555
0.78,0.009999993696516265,2.8093557335350923
0.79,0.009999994778311087,2.8094557156656292
0.8,0.009999994956383103,2.8095556949552956
0.81,0.009999994860881522,2.8096557503862307
0.82,0.009999994642134266,2.8097557764558543
0.83,0.009999994372535669,2.8098557813151737
0.84,0.009999994177761073,2.8099557872261522
0.85,0.009999994042204972,2.8100557942600686
0.86,0.009999993955515854,2.810155802302205
0.87,0.009999993865428335,2.8102558158059905
0.88,0.00999999371799762,2.8103557880720924
0.89,0.009999993682543758,2.810455760720374
0.9,0.009999993725180295,2.8105557353594506
0.91,0.009999993810425196,2.810655711831393
0.92,0.009999993904636012,2.810755689475666
0.93,0.009999993938615675,2.8108552775637348
0.94,0.009999993877805627,2.81095528521121
0.95,0.009999993818827999,2.811055292386609
0.96,0.009999993761605557,2.8111552992182807
0.97,0.009999993706088917,2.811255306678636
0.98,0.009999993652193555,2.8113553147312023
0.99,0.009999993599842855,2.811455323230226
1.0,0.009999993548981699,2.811555333148548
